2,BOS
3,EOS
4,。
5,我
6,的
7,了
8,你
9,他
10,是
11,一
12,在
13,不
14,？
15,有
16,她
17,這
18,很
19,姆
20,，
21,要
22,人
23,天
24,們
25,個
26,去
27,到
28,这
29,汤
30,上
31,们
32,个
33,什
34,好
35,想
36,那
37,嗎
38,子
39,能
40,么
41,看
42,得
43,做
44,會
45,多
46,下
47,生
48,吗
49,以
50,裡
51,大
52,來
53,可
54,麼
55,会
56,道
57,都
58,来
59,没
60,喜
61,把
62,家
63,知
64,?
65,事
66,就
67,起
68,说
69,本
70,作
71,沒
72,时
73,为
74,常
75,里
76,車
77,為
78,意
79,打
80,年
81,和
82,時
83,地
84,自
85,說
86,吃
87,用
88,成
89,出
90,工
91,日
92,些
93,法
94,孩
95,給
96,學
97,明
98,晚
99,點
100,前
101,今
102,最
103,英
104,開
105,小
106,中
107,信
108,請
109,学
110,回
111,哪
112,候
113,行
114,真
115,所
116,歡
117,房
118,對
119,告
120,它
121,跟
122,给
123,過
124,点
125,被
126,比
127,车
128,每
129,語
130,正
131,昨
132,早
133,何
134,欢
135,書
136,相
137,果
138,过
139,父
140,高
141,必
142,太
143,着
144,快
145,对
146,儿
147,心
148,公
149,您
150,如
151,再
152,手
153,开
154,已
155,住
156,该
157,非
158,美
159,湯
160,球
161,任
162,定
163,丽
164,感
165,該
166,0
167,花
168,十
169,走
170,間
171,o
172,怎
173,名
174,西
175,玛
176,女
177,让
178,望
179,讓
180,經
181,友
182,老
183,面
184,间
185,语
186,話
187,发
188,需
189,完
190,见
191,著
192,问
193,话
194,火
195,次
196,應
197,親
198,只
199,男
200,母
201,力
202,书
203,見
204,己
205,也
206,现
207,期
208,電
209,問
210,物
211,认
212,朋
213,加
214,T
215,还
216,士
217,從
218,三
219,之
220,同
221,！
222,照
223,現
224,音
225,m
226,样
227,受
228,找
229,新
230,外
231,方
232,国
233,理
234,分
235,機
236,少
237,但
238,等
239,水
240,雨
241,放
242,从
243,發
244,始
245,字
246,更
247,解
248,校
249,國
250,游
251,東
252,情
253,希
254,星
255,長
256,吧
257,全
258,像
259,幫
260,觉
261,经
262,認
263,应
264,聽
265,直
266,後
267,狗
268,待
269,电
270,重
271,於
272,無
273,别
274,餐
275,睡
276,喝
277,请
278,午
279,文
280,1
281,服
282,玩
283,钱
284,月
285,路
286,錢
287,于
288,樣
289,通
290,站
291,弟
292,诉
293,件
294,后
295,活
296,爸
297,婚
298,當
299,教
300,將
301,助
302,妹
303,色
304,近
305,然
306,讀
307,題
308,听
309,忙
310,位
311,步
312,衣
313,因
314,泳
315,谁
316,笑
317,買
318,","
319,還
320,穿
321,久
322,帮
323,幾
324,班
325,鐘
326,周
327,氣
328,兒
329,兩
330,白
331,覺
332,趣
333,樂
334,利
335,叔
336,收
337,题
338,旅
339,亲
340,拿
341,死
342,买
343,失
344,气
345,提
346,乎
347,須
348,机
349,接
350,功
